name
Exosister Karmael
Killer Tune Red Seal
Exosister Bat Mater
Solemn Strike
Relinquished
Exosister Arment
Axe of Despair
Scrap Factory
Advanced Ritual Art
Dinomist Rex
Amorphage Goliath
Odd-Eyes Raging Dragon
Odd-Eyes Arc Pendulum Dragon
Shrine of Mist Valley
Allied Code Talker @Ignister
Gorgon of Zilofthonia
